word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
inclusion,noun,c1,the fact of including somebody/something; the fact of being included,His inclusion in the team is in doubt.,"comprehension, inclusion body, include, incorporate, integrating",exclusion,"collusion, illusion, delusion, conclusion, fusion","exclusion, disabilities, amber, lgbt, disability"
incorporate,verb,b2,to include something so that it forms a part of something,"incorporate something, The new car design incorporates all the latest safety features.","integrate, comprise, integrated, merged, united",disintegrate,"state, rate, date, plate, advocate","incorporation, elements, styles, influences, genres"
incorrect,adjective,b2,not accurate or true,incorrect information/spelling,"inaccurate, wrong, erroneous, mistaken, false","right, correct","effect, affect, respect, project, subject","guesses, answer, answers, guess, correct"
incur,verb,c1,"if you incur something unpleasant, you are in a situation in which you have to deal with it",She had incurred the wrath of her father by marrying without his consent.,"find, get, obtain, receive, suffer",,"defer, confer, infer, entrepreneur, concur","overheads, wrath, excommunication, recommend, displeasure"
independence,noun,b2,freedom from political control by other countries,Cuba gained independence from Spain in 1898.,"independency, stand-alone, self-contained, self-sufficient, self-sustaining",,"attendance, transcendence, dependence, tendance, interdependence","referendum, kosovo, declaration, angola, sovereignty"
index,noun,b2,"a list of names or topics that are referred to in a book, etc., usually arranged at the end of a book in alphabetical order or listed in a separate file or book",Look it up in the index.,"indicator, indicant, exponent, power, index finger",,,"hdi, refraction, indexes, indices, multiplied"
indication,noun,b2,a remark or sign that shows that something is happening or what somebody is thinking or feeling,"indication of something, They gave no indication of how the work should be done.","indicating, indicia, indicative, indicate, indicator",,"communication, information, operation, education, implication","vino, indications, geographical, wines, radar"
indicator,noun,c1,a sign that shows you what something is like or how a situation is changing,The economic indicators are better than expected.,"indicant, index, index number, indicative, indication",,"coordinator, mater, cater, curator, later","autopilot, nav, indicators, airspeed, positioning"
indictment,noun,c1,"a sign that a system, society, etc. is very bad or very wrong",The poverty in our cities is a damning indictment of modern society.,"bill of indictment, impeachment, arraignment, prosecution, prosecute",,"excitement, frightment, incitement, with excitement","racketeering, alleges, perjury, indicted, laundering"
indigenous,adjective,c1,"coming from a particular place and having lived there for a long time before other people came there; relating to, belonging to or developed by these people",the indigenous peoples/languages of an area,"autochthonous, autochthonal, autochthonic, native, endemic",,polygynous,"quechua, peoples, mestizo, learnt, aboriginal"
induce,verb,c1,to persuade or influence somebody to do something,Nothing would induce me to take the job.,"bring on, get, have, make, cause",,"loose, obtuse, use, abuse, produce","apoptosis, galls, vomiting, hallucinations, secretion"
indulge,verb,c1,"to allow yourself to have or do something that you like, especially something that is considered bad for you","indulge in something, They went into town to indulge in some serious shopping.","luxuriate, gratify, pamper, mollycoddle, coddle",,"divulge, bulge, battle of the bulge","whims, pleasures, vices, luxuries, whim"
inequality,noun,c1,"the unfair difference between groups of people in society, when some have more wealth, status or opportunities than others",We need to tackle inequality of opportunity wherever we find it.,"inequity, unfairness, injustice, unfair, uneven",equality,"quality, polity, equality, frivolity, causality","inequalities, disparities, unequal, oecd, equality"
inevitable,adjective,b2,that you cannot avoid or prevent,It was an inevitable consequence of the decision.,"unavoidable, ineluctable, inescapable, necessary, fateful","evitable, avoidable",evitable,"consequence, capitalism, clash, outcome, demise"
inevitably,adverb,b2,as is certain to happen,"Inevitably, the press exaggerated the story.","unavoidably, ineluctably, inescapably, necessarily, needs",,,"leads, arise, tensions, fail, involve"
infamous,adjective,c1,well known for being bad or evil,a general who was infamous for his brutality,"ill-famed, notorious, disreputable, nefarious, evil",,,"brawl, massacre, pirate, mafia, riot"
infant,noun,c1,a baby or very young child,a nursery for infants under two,"baby, infantile, babe, young, immature",,,"sids, mortality, toddler, baptism, breastfeeding"
infect,verb,c1,"to make a disease or an illness spread to a person, an animal or a plant","infect somebody/something (with something), It is not possible to infect another person through kissing.","taint, inspire, revolutionize, infectious, infection",disinfect,"effect, affect, respect, project, subject","zoonotic, plasmodium, erythrocytes, viruses, archaea"
infer,verb,b2,to reach an opinion or decide that something is true on the basis of information that is available,"infer something (from something), Much of the meaning must be inferred from the context.","deduce, extrapolate, derive, guess, understand",,"defer, confer, entrepreneur, concur, incur","admixture, geopolitical, inferences, causality, inference"
inflation,noun,b2,"a general rise in the prices of services and goods in a particular country, resulting in a fall in the value of money; the rate at which this happens",the fight against rising inflation,"rising prices, inflationary, hyperinflation, price, rate","deflation, disinflation","communication, information, operation, education, implication","deflation, devaluation, adjusted, unemployment, timeline"
inflict,verb,c1,to make somebody/something suffer something unpleasant,"inflict something on/upon somebody/something, They inflicted a humiliating defeat on the home team.","bring down, impose, visit, wreak, suffer",,"perfect, conflict, depict, derelict, predict","grievous, casualties, bites, harm, painful"
influential,adjective,c1,having a lot of influence on somebody/something,a highly influential book,"powerful, prestigious, important, potent, cogent",uninfluential,"potential, essential, existential, quintessential, exponential","shaping, figure, politicians, figures, essay"
info,noun,b2,information,"For more info, click here.","information, informational, informing, learn, know",,,"epi, uri, chunk, http, www"
infrastructure,noun,b2,,,"base, infrastructural, facilities, infostructure, structure",,"structure, ducture, superstructure, restructure, sentence structure","forested, unproductive, belts, improvements, investments"
inhabitant,noun,b2,a person or an animal that lives in a particular place,the oldest inhabitant of the village,"denizen, dweller, resident, householder, occupier",,"habitant, rabbit hunt","depths, coral, peat, obliged, plural"
inherent,adjective,c1,that is a basic or permanent part of somebody/something and that cannot be removed,the difficulties inherent in a study of this type,"intrinsic, inbuilt, constitutional, intrinsical, built-in",,"coherent, apparent, errant, aberrant, transparent","vowel, consonant, flaws, resolve, limitations"
inherit,verb,b2,"to receive money, property, etc. from somebody when they die","inherit something from somebody, She inherited a fortune from her father.","come into, heir, heritage, inheritance, legacy",,"disparate, merit, parrot, ferret, garret","primogeniture, ruby, allele, earldom, throne"
inhibit,verb,c1,to prevent something from happening or make it happen more slowly or less frequently than normal,A lack of oxygen may inhibit brain development in the unborn child.,"subdue, suppress, conquer, curb, stamp down",,"exhibit, prohibit, ribbit, tibbett, tribbett","reuptake, thrombin, angiogenesis, norepinephrine, apoptosis"
initiate,verb,c1,to make something begin,to initiate legal proceedings against somebody,"induct, originate, experienced, start, pioneer",uninitiate,"state, rate, date, plate, advocate","initiation, proceedings, replication, transcription, signaling"
inject,verb,c1,to put a drug or other substance into a personâs or an animalâs body using a syringe,"inject something (into yourself/somebody/something), Adrenaline was injected into the muscle.","shoot, throw in, interject, interpose, put in",,"effect, affect, respect, project, subject","venom, syringe, effector, sedative, saliva"
injection,noun,c1,an act of injecting somebody with a drug or other substance,to give somebody an injection,"injectant, shot, injector, injectable, inject",,"collection, section, inflection, reflection, projection","molding, moulding, injector, intramuscular, subcutaneous"
injustice,noun,c1,the fact of a situation being unfair and of people not being treated equally; an unfair act or an example of unfair treatment,We are committed to fighting against poverty and injustice.,"unfairness, unjustness, iniquity, inequity, inequality","justice, justness","justice, augustus, xystus, cistus, poetic justice","oppression, tyranny, inequality, unjust, cruelty"
ink,noun,b2,"coloured liquid for writing, drawing and printing","in ink, written in ink ","paper, pencil, printer, toner, tattoo",,"think, drink, sink, link, shrink","toner, inking, watercolor, brushes, tattoo"
inmate,noun,c1,one of the people living in an institution such as a prison or a psychiatric hospital,The jail has 500 inmates.,"jailbird, gaolbird, convict, con, inpatient",outpatient,"state, rate, date, plate, advocate","inmates, correctional, kareem, alcatraz, penitentiary"
innovation,noun,b2,"the introduction of new things, ideas or ways of doing something",an age of technological innovation,"invention, excogitation, design, conception, innovative",,"communication, information, operation, education, implication","entrepreneurship, competitiveness, creativity, innovations, entrepreneurs"
innovative,adjective,b2,"introducing or using new ideas, ways of doing something, etc.",There will be a prize for the most innovative design.,"innovational, original, advanced, modern, forward-looking",,"creative, native, iterative, authoritative, cooperative","solutions, technologies, approaches, techniques, ideas"
input,noun,b2,"time, knowledge, ideas, etc. that you put into work, a project, etc. in order to make it succeed; the act of putting something in",I'd appreciate your input on this.,"stimulus, stimulation, stimulant, input signal, production",,"put, foot, output, soot, afoot","impedance, output, amplifier, voltage, algorithm"
insert,verb,b2,to put something into something else or between two things,"insert something (in/into something), Insert coins into the slot and press for a ticket.","inset, put in, introduce, enter, inclose",,"desert, dessert, hurt, revert, assert","delete, cloning, insertion, inserted, packs"
insertion,noun,c1,the act of putting something inside something else; a thing that is put inside something else,An examination is carried out before the insertion of the tube.,"intromission, introduction, insert, placement, entry",,"assertion, coercion, exertion, desertion, tertian","callus, deletion, parietal, peristome, catheter"
insider,noun,c1,"a person who knows a lot about a group or an organization, because they are part of it",The situation was described by one insider as âabsolute chaosâ.,"whistle-blower, informant, initiate, informer, relation",,"spider, rider, cider, provider, glider","outsider, trading, preview, securities, hedge"
inspect,verb,c1,"to look closely at something/somebody, especially to check that everything is as it should be","inspect something/somebody, The teacher walked around inspecting their work.","scrutinize, audit, visit, examine, scan",,"effect, affect, respect, project, subject","contraband, inspection, proceedings, verify, defects"
inspection,noun,c1,"an official visit to a school, factory, etc. in order to check that rules are being obeyed and that standards are acceptable",Regular inspections are carried out at the prison.,"scrutiny, examination, review, inspecting, vetting",,"collection, section, inflection, reflection, projection","aphis, inspectorate, quarantine, inspect, satisfactory"
inspector,noun,b2,an officer of middle rank in the police force,Inspector Maggie Forbes,"examiner, inspectorate, controller, inspection, inspecting",,"vector, director, sector, spectre, specter","gadget, rebus, morse, constabulary, cid"
inspiration,noun,c1,"the process that takes place when somebody sees or hears something that causes them to have exciting new ideas or makes them want to create something, especially in art, music or literature",Dreams can be a rich source of inspiration for an artist.,"inhalation, stirring, brainchild, breathing in, breathing",,"communication, information, operation, education, implication","fictional, poets, poem, novel, character"
installation,noun,b2,the act of fixing equipment or furniture in position so that it can be used,installation costs,"initiation, induction, installment, facility, installing",,"communication, information, operation, education, implication","install, installations, sculpture, installed, lighting"
instant,adjective,b2,happening immediately,This account gives you instant access to your money.,"new york minute, blink of an eye, jiffy, moment, instantaneous",,,"messaging, noodles, gratification, noodle, ramen"
instantly,adverb,b2,immediately,Her voice is instantly recognizable.,"immediately, right away, forthwith, instantaneously, now",,,"smitten, recognizable, memorable, attracted, wounds"
instinct,noun,c1,a natural quality that makes people and animals tend to behave in a particular way using the knowledge and abilities that they were born with rather than thought or training,She did not seem to have any of the usual maternal instincts.,"full, imbued, inherent aptitude, intuition, reflex",,,"pinker, instincts, herding, intuition, freud"
institutional,adjective,c1,"connected with a large important organization, for example a university or bank",institutional investors,"institutionalized, uninteresting, institutionalization, establishment, organizational",noninstitutional,"constitutional, unconstitutional, constitution hill","pri, investor, revolutionary, repository, racism"
instruct,verb,c1,"to tell somebody to do something, especially in a formal or official way","instruct somebody to do something, The letter instructed him to report to headquarters immediately.","learn, teach, apprise, apprize, educate",,"conduct, duct, construct, obstruct, deduct","israelites, entertain, cadets, jury, instruction"
instrumental,adjective,c1,important in making something happen,The Conservation Trust performs an instrumental role in the protection of rural environments.,"helpful, instrumental case, implemental, important, imperative",vocal,"fundamental, detrimental, judgemental, gentle, incidental","accompaniment, vocal, securing, establishing, choral"
insufficient,adjective,c1,"not large, strong or important enough for a particular purpose",insufficient time,"inadequate, deficient, poor, scarce, scant",sufficient,"efficient, omniscient, proficient, sufficient, coefficient","justify, evidence, recommend, sustain, inadequate"
insult,noun,c1,a remark or an action that is said or done in order to offend somebody,The crowd were shouting insults at the police.,"affront, contumely, revilement, abuse, offensive",,"result, cult, consult, occult, adult","insulting, defamation, injury, dignity, prophet"
insult,verb,c1,to say or do something that offends somebody,I have never been so insulted in my life!,"affront, contumely, revilement, abuse, offensive",,"result, cult, consult, occult, adult","insulting, defamation, injury, dignity, prophet"
intact,adjective,c1,complete and not damaged,Most of the house remains intact even after two hundred years.,"undamaged, uninjured, unimpaired, inviolate, whole",,"act, impact, abstract, contract, fact","timber, decorative, ceiling, preserved, tomb"
intake,noun,c1,"the amount of food, drink, etc. that you take into your body",high fluid intake,"ingestion, consumption, uptake, hydrant, pumping",,"awake, break, take, cake, make","manifold, exhaust, camshaft, carburetor, valves"
integral,adjective,c1,being an essential part of something,Music is an integral part of the school's curriculum.,"built-in, inbuilt, intrinsical, intrinsic, constitutional",,,"riemann, calculus, contour, fourier, membrane"
integrate,verb,b2,to combine two or more things so that they work together; to combine with something else in this way,"integrate into/with something, These programs will integrate with your existing software.","incorporate, mix, desegregate, integration, subsume","differentiate, segregate, disintegrate","state, rate, date, plate, advocate","integration, api, functionality, apps, genome"
integrated,adjective,c1,in which many different parts are closely connected and work successfully together,an integrated programme of patient care,"united, unified, incorporate, merged, amalgamated","segregated, unintegrated, nonintegrated","sophisticated, elated, emaciated, related, agitated","categorized, ide, pest, semiconductor, circuit"
integration,noun,c1,the act or process of combining two or more things so that they work together,The aim is to promote closer economic integration.,"integrating, consolidation, desegregation, integrate, convergence","segregation, sequestration","communication, information, operation, education, implication","integrate, integral, integrated, server, capabilities"
integrity,noun,c1,the quality of being honest and having strong moral principles,personal/professional/artistic integrity,"wholeness, unity, propriety, probity, righteousness",,,"honesty, compromised, transparency, accountability, sovereignty"
intellectual,adjective,b2,connected with or using a personâs ability to think in a logical way and understand things ,Gifted children typically show great intellectual curiosity and a wide range of interests.,"intellect, mental, highbrow, rational, highbrowed","emotional, nonintellectual",ineffectual,"disability, disabilities, property, curiosity, patents"
intellectual,noun,c1,a person who is well educated and enjoys activities in which they have to think seriously about things,He was a leading intellectual of his day.,"intellect, mental, highbrow, rational, highbrowed","emotional, nonintellectual",ineffectual,"disability, disabilities, property, curiosity, patents"
intensify,verb,c1,to increase in degree or strength; to make something increase in degree or strength,Violence intensified during the night.,"deepen, heighten, escalate, step up, compound","weaken, de-escalate, step down","lie, i, by, fly, eye","anticyclone, cyclonic, intensification, utc, landfall"
intensity,noun,c1,the state or quality of being intense,intensity of light/sound/colour,"intensiveness, strength, vividness, chroma, saturation",softness,"propensity, density, tensity, low density, flux density","landfall, mph, weakening, weaken, weakened"
intensive,adjective,c1,involving a lot of work or activity done in a short time,an intensive language course,"intensifier, intense, intensity, drastic, robust",extensive,"comprehensive, extensive, apprehensive, pensive, offensive","icu, neonatal, outpatient, pediatric, care"
intent,noun,c1,what you intend to do ,She denies possessing the drug with intent to supply.,"intention, purpose, attentive, concentrated, engrossed",,"present, content, event, accent, consent","defraud, bodily, commit, distribute, harm"
interact,verb,b2,"to communicate with somebody, especially while you work, play or spend time with them",Teachers have a limited amount of time to interact with each child.,"socialize, relationship, interactive, interaction, dialogue",,"act, impact, abstract, contract, fact","kinase, receptor, receptors, cdc, proteins"
interaction,noun,b2,"the act of communicating with somebody, especially while you work, play or spend time with them",the interaction between performers and their audience,"fundamental interaction, interactive, interactivity, relationship, interplay",,"action, reaction, traction, contraction, fraction","mediated, electrons, coupling, electromagnetic, receptor"
interactive,adjective,c1,that allows information to be passed continuously and in both directions between a computer or other device and the person who uses it,interactive displays/video,"interactional, synergistic, reciprocal, interaction, interplay","antagonistic, incompatible","proactive, active, attractive, retroactive, inactive","whiteboard, visualization, multimedia, exhibits, storytelling"
interface,noun,c1,"the way a computer program presents information to a user or receives information from a user, in particular the layout of the screen and the menus",the user interface,"user interface, port, interconnection, link, linkage",,"case, grace, face, base, place","gui, scsi, api, menus, graphical"
interfere,verb,c1,"to get involved in and try to influence a situation that should not really involve you, in a way that annoys other people",I wish my mother would stop interfering and let me make my own decisions.,"intervene, interpose, step in, interference, meddle",,"clear, tear, gear, peer, sheer","interference, absorption, affairs, breathing, functioning"
interference,noun,c1,"the act of getting involved in and trying to influence a situation that should not really involve you, in a way that annoys other people ","interference (in something), They resent foreign interference in the internal affairs of their country.","interfering, blocking, hindrance, preventive, encumbrance","nonintervention, noninterference","perseverance, appearance, clearance, adherence, coherence","microscopy, diffraction, wavelength, privacy, interfere"
interim,adjective,c1,intended to last for only a short time until somebody/something more permanent is found,an interim government/measure/report,"temporary, impermanent, lag, provisionally, temporarily",,,"provost, transitional, welterweight, coach, pending"
interior,adjective,c1,connected with the inside part of something,interior walls,"inward, inner, inside, upcountry, indoor","outside, exterior","superior, inferior, anterior, ulterior, exterior","decorator, woodwork, exterior, dashboard, furnishings"
interior,noun,c1,the inside part of something,the interior of a building/a car,"inward, inner, inside, upcountry, indoor","outside, exterior","superior, inferior, anterior, ulterior, exterior","decorator, woodwork, exterior, dashboard, furnishings"
intermediate,adjective,c1,"located between two places, things, states, etc.",an intermediate stage/step in a process,"in-between, halfway, middle, second, next-to-last","last, first","immediate, remediate, media it","hurling, meath, appellate, tyres, sprint"
interpretation,noun,b2,the particular way in which something is understood or explained,Her evidence suggests a different interpretation of the events.,"interpreting, reading, version, rendering, rendition",,"communication, information, operation, education, implication","scripture, quantum, quran, mechanics, interpret"
interval,noun,b2,a period of time between two events,The interval between major earthquakes might be 200 years.,"time interval, separation, musical interval, period, duration",,,"semitone, diatonic, intervals, octave, fuzzy"
intervene,verb,c1,to become involved in a situation in order to improve or help it,She might have been killed if the neighbours hadn't intervened.,"interpose, interfere, step in, interject, influence",,"mean, green, bean, machine, lean","behalf, intervention, dispute, resolve, restore"
intervention,noun,c1,action taken to improve or help a situation,calls for government intervention to save the steel industry,"intercession, interference, intervener, intermediation, interposition","nonintervention, noninterference","intention, abstention, contravention, circumvention, inattention","interventions, libya, yemen, syria, syrian"
intimate,adjective,c1,having a close and friendly relationship,intimate friends,"friendly, connected, familiar, personal, confidant",,"state, rate, date, plate, advocate","apparel, intimacy, acquaintance, relationships, relationship"
intriguing,adjective,c1,very interesting because of being unusual or not having an obvious answer,These discoveries raise intriguing questions.,"challenging, provocative, interesting, enigmatic, mysterious",,"fatiguing, leaguing","premise, compelling, mysteries, mystery, exciting"
invade,verb,b2,"to enter a country, town, etc. using military force in order to take control of it",Troops invaded on August 9th that year.,"occupy, encroach upon, intrude on, obtrude upon, encroach",,"trade, aid, blade, shade, grade","conquer, seize, invasion, tissues, invaded"
invasion,noun,b2,the act of an army entering another country by force in order to take control of it,the German invasion of Poland in 1939,"encroachment, intrusion, war, occupation, raid",,"occasion, equation, caucasian, abrasion, asian","manchuria, normandy, sicily, iraq, leyte"
investigator,noun,c1,a person who examines a situation such as an accident or a crime to find out the truth,air safety investigators,"researcher, detective, tec, police detective, research worker",,"coordinator, mater, cater, curator, later","flinders, nih, paranormal, detective, hughes"
investor,noun,b2,a person or an organization that invests money in something,small investors (= private people),"shareholder, investment, funder, lessor, developer",,"sequester, fester, ancestor, ester, pester","philanthropist, investing, hedge, commitments, invest"
invisible,adjective,c1,that cannot be seen,a wizard who could make himself invisible,"unseen, inconspicuous, undetectable, unseeable, unnoticeable","conspicuous, obvious, visible, seeable","visible, divisible","ink, naked, infrared, visible, fantastic"
invoke,verb,c1,"to mention or use a law, rule, etc. as a reason for doing something",It is unlikely that libel laws will be invoked.,"call forth, put forward, call down, appeal, raise",,"oak, stroke, evoke, poke, yoke","cloture, blessings, invocation, invoked, runtime"
involvement,noun,c1,the act of taking part in something or dealing with somebody,"involvement in something, US involvement in European wars","participation, liaison, engagement, interest, affaire","non-involvement, nonparticipation, non-engagement",,"scandal, assassination, trafficking, vietnam, conspiracy"
ironic,adjective,c1,showing that you really mean the opposite of what you are saying; expressing irony,an ironic comment,"ironical, humourous, humorous, incongruous, wry",,"sardonic, laconic, chronic, mnemonic, tonic","twist, sarcastic, irony, humour, humor"
ironically,adverb,c1,in a way that shows that you really mean the opposite of what you are saying; in a way that expresses irony,He smiled ironically.,"ironic, sarcastically, mockingly, interestingly, strangely",,"chronically, sardonically, electronically","rival, enough, saved"
irony,noun,c1,the funny or strange aspect of a situation that is very different from what you expect; a situation like this,It was one of life's little ironies.,"satire, sarcasm, caustic remark, paradox, travesty",,byron he,"sarcasm, cynicism, ironic, sincerity, satire"
irrelevant,adjective,c1,not important to or connected with a situation,totally/completely/largely irrelevant,"immaterial, inapplicable, unsuitable, impertinent, extraneous",relevant,relevant,"alternatives, stimuli, criterion, considerations, relevance"
isolate,verb,b2,to separate somebody/something physically or socially from other people or things,"isolate somebody/yourself/something, Patients with the disease should be isolated.","sequester, sequestrate, set apart, insulate, keep apart",,"state, rate, date, plate, advocate","anticancer, characterize, soy, vibration, isolation"
isolated,adjective,b2,far away from any others,isolated rural areas,"detached, separate, obscure, disjunct, separated",,"sophisticated, integrated, elated, emaciated, related","pockets, strain, isolation, soil, virus"
isolation,noun,c1,the act of separating somebody/something; the state of being separate,geographical isolation,"reclusiveness, closing off, seclusion, insularity, isolate",,"communication, information, operation, education, implication","speciation, loneliness, transformer, characterization, isolated"
jail,noun,b2,a prison,She spent a year in jail.,"jailhouse, gaol, incarcerate, imprison, put away",,"scale, rail, pale, hail, entail","probation, bail, sentence, inmates, awaiting"
jail,verb,b2,to put somebody in prison,"be jailed (for something), He was jailed for life for murder.","jailhouse, gaol, incarcerate, imprison, put away",,"scale, rail, pale, hail, entail","probation, bail, sentence, inmates, awaiting"
jet,noun,b2,a plane driven by jet engines,a jet aircraft/fighter/airliner,"jet plane, fountain, pitchy, jet-black, gush",,"set, get, bet, offset, vet","airliner, propulsion, turboprop, lag, skis"
joint,adjective,b2,involving two or more people together,"a joint account (= a bank account in the name of more than one person, for example shared by a couple)","cooperative, associated, concerted, cosignatory, conjoint",separate,"point, anoint, pinpoint, appoint, viewpoint","venture, ventures, typhoon, joints, exercises"
joint,noun,b2,a place where two bones are joined together in the body in a way that enables them to bend and move,inflammation of the knee joint,"cooperative, associated, concerted, cosignatory, conjoint",separate,"point, anoint, pinpoint, appoint, viewpoint","venture, ventures, typhoon, joints, exercises"
journalism,noun,b2,"the work of collecting and writing news stories for newspapers, magazines, radio, television or online news sites; the news stories that are written",I'd like a career in journalism.,"news media, fourth estate, reporting, journalistic, reporter",,"fascism, aphorism, euphemism, recidivism, altruism","journalistic, investigative, reporter, correspondent, reporting"
judicial,adjective,c1,"connected with a court, a judge or legal judgement",judicial powers,"juridical, legal, juridic, discriminative, critical",,"beneficial, superficial, initial, official, artificial","privy, judiciary, appellate, arrondissement, judges"
junction,noun,c1,the place where two or more roads or railway lines meet,It was near the junction of City Road and Old Street.,"adjunction, conjunction, joint, meeting, join",,"function, conjunction, injunction, compunction, unction","wap, ist, motorway, carriageway, roundabout"
jurisdiction,noun,c1,the authority that an official organization has to make legal decisions about somebody/something,"jurisdiction over somebody/something, The English court had no jurisdiction over the defendants.","legal power, law, purview, jurisprudence, judiciary",,"conviction, fiction, addiction, diction, friction","patriarchate, benin, appellate, courts, defendant"
jury,noun,b2,"a group of members of the public who listen to the facts of a case in a court and decide whether or not somebody is guilty of a crime, or whether a claim has been proved",members of the jury,"panel, juror, appellant, arbitration, arbitral",,"fury, curie, missouri, venturi, puri","indict, deliberated, nullification, deadlocked, verdict"
just,adjective,c1,that most people consider to be morally fair and reasonable,a just decision/law/society,"exactly, precisely, conscionable, rightful, equitable","unfair, unjust, inequitable","list, trust, bust, thrust, robust","fun, outside"
justification,noun,c1,a good reason why something exists or is done,"justification for doing something, I can see no possible justification for any further tax increases.","evidence, justify, justifying, statement, substantiation",,"communication, information, operation, education, implication","sanctification, righteousness, epistemology, justified, excuse"
kidnap,verb,c1,"to take somebody away illegally and keep them as a prisoner, especially in order to get money or something else for returning them",Two businessmen have been kidnapped by terrorists.,"abduct, nobble, snatch, abducted, abduction",,"cap, snap, shap, tap, trap","ransom, foiled, kidnapping, hostage, kidnapped"
kidney,noun,c1,either of the two organs in the body that remove waste products from the blood and produce urine,a kidney infection,"renal, liver, hepatic, dialysis, dose",,"sydney, sidney, gidney","ureter, dialysis, proteinuria, nephropathy, tubule"
kingdom,noun,c1,a country that has a king or queen as head of state (= official leader of the country),the United Kingdom,"realm, land, king, royalty, royal",,"subkingdom, anything dumb, ringed him, string dim, winged him","prussia, sardinia, hearts, yugoslavia, hungary"
kit,noun,b2,a set of tools or equipment that you use for a particular purpose,a first-aid kit,"kit out, outfit, kit up, matchbook, stake",,"it, fit, shit, hit, bit","socks, kits, kat, adidas, shorts"
lad,noun,c1,a boy or young man,Things have changed since I was a lad.,"laddie, sonny boy, sonny, chap, fella",,"sad, pad, bad, ad, fad","strapping, lass, ferro, hurdle, racehorse"
ladder,noun,b2,"a piece of equipment for climbing up and down a wall, the side of a building, etc., consisting of two lengths of wood or metal that are joined together by steps or rungs",to climb up/fall off a ladder,"ravel, run, scale, rung, stepladder",,"bladder, adder, madder, gallbladder, sadder","watertight, ladders, briefcase, galley, firehouse"
landing,noun,b2,an act of bringing an aircraft or a spacecraft down to the ground after a journey,a perfect/smooth/safe landing,"landing place, airstrip, runway, airdrop, aircraft",,"notwithstanding, outstanding, understanding, longstanding, standing","gear, pusher, craft, tubing, takeoff"
landlord,noun,c1,"a person or company from whom you rent a room, a house, an office, etc.",a buy-to-let landlord (= who buys houses and flats in order to rent them out),"landlady, lessor, rent, lessee, landowner",,"board, record, ward, accord, afford","tenant, tenancy, evict, landlady, rent"
landmark,noun,c1,"something, such as a large building, that you can see clearly from a distance and that will help you to know where you are",The Empire State Building is a familiar landmark on the New York skyline.,"turning point, monument, framework, cornerstone, pillar",,"mark, park, dark, arc, shark","landmarks, historic, marker, preservation, register"
lane,noun,b2,a narrow road in the country,winding country lanes,"driveway, roadway, avenue, street, carriageway",,"vein, train, plane, fein, strain","cove, southbound, superman, freeway, expressway"
lap,noun,c1,the top part of your legs that forms a flat surface when you are sitting down,"on somebody's lap, There's only one seat so you'll have to sit on my lap.","overlap, lap up, swosh, lick, circuit",,"cap, snap, shap, tap, trap","caution, lapped, laps, bowyer, pitted"
large-scale,adjective,c1,"involving many people or things, especially over a wide area",Large areas of the forest will be cleared for ranching as part of a large-scale development plan.,"large, big, general, mass, great",,large scale,
laser,noun,c1,"a device that gives out light in which all the waves oscillate (= change direction and strength) together, typically producing a powerful beam of light that can be used for cutting metal, in medical operations, etc.",a laser beam,"optical maser, yag, blaster, compact, passively",,"razor, trailblazer, taser, blazer, fundraiser","ablation, designator, sintering, diode, lidar"
lately,adverb,b2,recently; in the recent past,Have you seen her lately?,"recently, latterly, late, of late, recent",,"stately, greatly, innately, straightly, straitly","handler, chelsea, deceased, tourism, begun"
latter,adjective,c1,used to refer to the second of two things or people mentioned,He chose the latter option.,"later, last, late, last mentioned, second",former,"matter, scatter, batter, mater, flatter","saints, half, stages, saint"
latter,noun,c1,the second of two things or people mentioned,He presented two solutions. The latter seems much better.,"later, last, late, last mentioned, second",former,"matter, scatter, batter, mater, flatter","saints, half, stages, saint"
lawn,noun,c1,"an area of ground covered in short grass in a garden or park, or used for playing a game on",In summer we have to mow the lawn twice a week.,"field, grassland, mower, sod, turf",,"on, upon, phenomenon, liaison, con","mower, croquet, bowls, mowing, tennis"
lawsuit,noun,c1,a claim or complaint against somebody that a person or an organization can make in court,He filed a lawsuit against his record label.,"cause, case, suit, causa, litigation",,"suit, attribute, moot, shoot, root","alleging, alleges, filed, infringement, defamation"
layout,noun,c1,"the way in which the parts of something such as the page of a book, a website, a garden or a building are arranged",the layout of streets,"arrangement, alignment, configuration, composition, elaboration",,"out, about, route, doubt, tout","qwerty, dvorak, tricycle, pusher, propeller"
leaflet,noun,b2,a printed sheet of paper or a few printed pages that are given free to advertise or give information about something,We picked up a few leaflets on local places of interest.,"cusp, folder, booklet, pamphlet, brochure",,,"mitral, bilayer, flail, rachis, prolapse"
leak,noun,c1,a small hole that lets liquid or gas flow in or out of something by accident,a leak in the roof,"leakage, leak out, wetting, outflow, escape",,"fleek, seek, unique, pique, sleek","csf, leaking, leakage, coolant, libby"
leak,verb,c1,to allow liquid or gas to get in or out through a small hole,a leaking pipe,"leakage, leak out, wetting, outflow, escape",,"fleek, seek, unique, pique, sleek","csf, leaking, leakage, coolant, libby"
leap,noun,c1,a long or high jump,a leap of six metres,"jump, bounce, spring, bound, hop",,"creep, keep, sweep, sleep, deep","proleptic, adar, divisible, calendar, julian"
